bf800000:	dummy;	3.4.0	1.8.4	0	1	0	0
3f2385e8:	time lag;	0.62764	0.63366
3f20efec:	dummy;	0.63462	12	-4	88
3f238930:	time lag;	0.62866	0.63462
3f213a50:	dummy;	0.635576	12	-4	88
3f238c54:	time lag;	0.62980	0.63558
3f21857c:	dummy;	0.636532	12	-4	88
3f238f48:	time lag;	0.63094	0.63653
3f21c810:	dummy;	0.63749	12	-4	88
3f239218:	time lag;	0.63196	0.63749
3f221510:	dummy;	0.638445	12	-4	88
3f23950c:	time lag;	0.63313	0.63845
3f226128:	dummy;	0.639403	12	-4	88
3f2397dc:	time lag;	0.63429	0.63940
3f22cba8:	dummy;	0.640359	12	-4	88
3f25bc34:	time lag;	0.63592	0.64036
3f22f5bc:	dummy;	0.641318	12	-4	88
3f25c000:	time lag;	0.63656	0.64132
3f22f640:	dummy;	0.642274	12	-4	88
3f25c338:	time lag;	0.63657	0.64227
3f233fc8:	dummy;	0.643232	10	-5	88
3f25c78c:	time lag;	0.63769	0.64323
3f238b58:	dummy;	0.644188	8	-6	88
3f25cc64:	time lag;	0.63884	0.64419
3f238c00:	dummy;	0.645146	6	-7	88
3f25cf78:	time lag;	0.63885	0.64515
3f23d9dc:	dummy;	0.646103	4	-8	88
3f25d344:	time lag;	0.64004	0.64610
3f242700:	dummy;	0.647056	4	-8	88
3f25d648:	time lag;	0.64122	0.64706
3f24724c:	dummy;	0.648	4	-8	88
3f25d92c:	time lag;	0.64237	0.64800
3f24c154:	dummy;	0.64894	4	-8	88
3f25dc0c:	time lag;	0.64357	0.64894
3f24c20c:	dummy;	0.649896	4	-8	88
3f25dee0:	time lag;	0.64359	0.64990
3f2512dc:	dummy;	0.650851	4	-8	88
3f27e174:	time lag;	0.64482	0.65085
3f254d94:	dummy;	0.651806	4	-8	88
3f27e6a4:	time lag;	0.64571	0.65181
3f259968:	dummy;	0.652763	4	-8	88
3f27ea1c:	time lag;	0.64687	0.65276
3f25df34:	dummy;	0.653716	4	-8	88
3f27ee80:	time lag;	0.64794	0.65372
3f262ae4:	dummy;	0.654659	4	-8	88
3f27f21c:	time lag;	0.64909	0.65466
3f26771c:	dummy;	0.6556149	4	-8	88
3f27f4ec:	time lag;	0.65025	0.65561
3f26c1d4:	dummy;	0.65657	4	-8	88
3f27f7ac:	time lag;	0.65140	0.65657
3f272b14:	dummy;	0.657523	4	-8	88
3f2a2bd0:	time lag;	0.65300	0.65752
3f272c94:	dummy;	0.658481	5	-7	88
3f2a2f7c:	time lag;	0.65302	0.65848
3f274ce4:	dummy;	0.659435	6	-6	88
3f2a32c0:	time lag;	0.65352	0.65943
3f278fe0:	dummy;	0.660392	7	-5	88
3f2a35c4:	time lag;	0.65454	0.66039
3f27d998:	dummy;	0.661348	8	-4	88
3f2a38a8:	time lag;	0.65566	0.66135
3f282508:	dummy;	0.662306	8	-4	88
3f2a3b8c:	time lag;	0.65682	0.66231
3f2872c0:	dummy;	0.663262	8	-4	88
3f2a3e4c:	time lag;	0.65800	0.66326
3f28c124:	dummy;	0.664218	8	-4	88
3f2a411c:	time lag;	0.65920	0.66422
3f290d7c:	dummy;	0.665174	8	-4	88
3f2a4454:	time lag;	0.66036	0.66517
3f290e44:	dummy;	0.666132	8	-4	88
3f2a4734:	time lag;	0.66037	0.66613
3f297b54:	dummy;	0.667084	8	-4	88
3f2c7854:	time lag;	0.66204	0.66708
3f297c90:	dummy;	0.668026	8	-4	88
3f2c7c00:	time lag;	0.66206	0.66803
3f299fe4:	dummy;	0.668978	8	-4	88
3f2c7f04:	time lag;	0.66260	0.66898
3f29e2bc:	dummy;	0.669922	8	-4	88
3f2c81b4:	time lag;	0.66362	0.66992
3f2a2f18:	dummy;	0.670877	8	-4	88
3f2c8440:	time lag;	0.66478	0.67088
3f2a7b70:	dummy;	0.671834	8	-4	88
3f2c86d0:	time lag;	0.66595	0.67183
3f2ac7c8:	dummy;	0.672789	8	-4	88
3f2c895c:	time lag;	0.66711	0.67279
3f2b18fc:	dummy;	0.673746	8	-4	88
3f2c8bdc:	time lag;	0.66835	0.67375
3f2b6008:	dummy;	0.674685	10	-4	87
3f2c8e68:	time lag;	0.66943	0.67468
3f2bc200:	dummy;	0.675644	12	-4	86
3f2ec4a4:	time lag;	0.67093	0.67564
3f2bc2dc:	dummy;	0.6766	14	-4	85
3f2ec7ec:	time lag;	0.67094	0.67660
3f2be8ac:	dummy;	0.677555	16	-4	84
3f2ecacc:	time lag;	0.67152	0.67756
3f2c2ea8:	dummy;	0.67851	16	-4	84
3f2ecd7c:	time lag;	0.67259	0.67851
3f2c7a08:	dummy;	0.679467	16	-4	84
3f2ed01c:	time lag;	0.67374	0.67947
3f2cc660:	dummy;	0.680424	16	-4	84
3f2ed298:	time lag;	0.67490	0.68042
3f2d12bc:	dummy;	0.681381	16	-4	84
3f2ed528:	time lag;	0.67607	0.68138
3f2d5e6c:	dummy;	0.682338	16	-4	84
3f2ed794:	time lag;	0.67722	0.68234
3f2da20c:	dummy;	0.683295	16	-4	84
3f2eda24:	time lag;	0.67825	0.68329
3f2ded18:	dummy;	0.684252	16	-4	84
3f2edc90:	time lag;	0.67940	0.68425
3f2e3950:	dummy;	0.685208	16	-4	84
3f310080:	time lag;	0.68056	0.68521
3f2e3a28:	dummy;	0.686164	16	-4	84
3f31041c:	time lag;	0.68057	0.68616
3f2e3a6c:	dummy;	0.687122	16	-4	84
3f3107b8:	time lag;	0.68058	0.68712
3f2e874c:	dummy;	0.688076	16	-4	84
3f310b54:	time lag;	0.68175	0.68808
3f2ed42c:	dummy;	0.689025	16	-4	84
3f310e44:	time lag;	0.68292	0.68902
3f2f21a4:	dummy;	0.689977	13	-5	84
3f3110f4:	time lag;	0.68411	0.68998
3f2f68ac:	dummy;	0.690921	10	-6	84
3f311394:	time lag;	0.68519	0.69092
3f2fb268:	dummy;	0.691877	7	-7	84
3f311654:	time lag;	0.68632	0.69188
3f300020:	dummy;	0.692833	4	-8	84
3f31197c:	time lag;	0.68750	0.69283
3f3000dc:	dummy;	0.693789	4	-8	84
3f311bf8:	time lag;	0.68751	0.69379
3f304fd4:	dummy;	0.69474	4	-8	84
3f3324fc:	time lag;	0.68872	0.69474
3f30891c:	dummy;	0.695683	4	-8	84
3f332884:	time lag;	0.68959	0.69568
3f30d76c:	dummy;	0.696639	4	-8	84
3f332b78:	time lag;	0.69079	0.69664
3f3123f8:	dummy;	0.697595	4	-8	84
3f332e48:	time lag;	0.69196	0.69759
3f316464:	dummy;	0.69855	4	-8	84
3f333108:	time lag;	0.69294	0.69855
3f31ace0:	dummy;	0.699504	4	-8	84
3f3333a8:	time lag;	0.69404	0.69950
3f31f6ec:	dummy;	0.700461	4	-8	84
3f333648:	time lag;	0.69517	0.70046
3f32453c:	dummy;	0.701417	4	-8	84
3f3338d8:	time lag;	0.69637	0.70142
3f329404:	dummy;	0.702373	4	-8	84
3f357190:	time lag;	0.69757	0.70237
3f3294bc:	dummy;	0.70333	4	-8	84
3f3574f8:	time lag;	0.69758	0.70333
3f32dc4c:	dummy;	0.704287	4	-8	84
3f357880:	time lag;	0.69867	0.70429
3f332820:	dummy;	0.705242	4	-8	84
3f357b40:	time lag;	0.69983	0.70524
3f337694:	dummy;	0.706199	4	-9	86
3f357df0:	time lag;	0.70103	0.70620
3f33c654:	dummy;	0.707156	4	-10	88
3f3580a0:	time lag;	0.70224	0.70716
3f33c71c:	dummy;	0.708115	4	-11	90
3f358350:	time lag;	0.70226	0.70812
3f34168c:	dummy;	0.709072	4	-12	92
3f358688:	time lag;	0.70347	0.70907
3f345c9c:	dummy;	0.710024	4	-12	92
3f358948:	time lag;	0.70454	0.71002
3f345d44:	dummy;	0.710975	4	-12	92
3f358bf8:	time lag;	0.70455	0.71098
3f34c018:	dummy;	0.711921	4	-12	92
3f37de84:	time lag;	0.70606	0.71192
3f34e454:	dummy;	0.712877	4	-12	92
3f37e37c:	time lag;	0.70661	0.71288
3f353058:	dummy;	0.713834	4	-12	92
3f37e77c:	time lag;	0.70777	0.71383
3f357f94:	dummy;	0.71479	4	-12	92
3f37eb18:	time lag;	0.70898	0.71479
3f367370:	dummy;	0.717406	4	-12	92
3f37ee90:	time lag;	0.71270	0.71741
3f367524:	dummy;	0.718353	4	-12	92
3f37f20c:	time lag;	0.71272	0.71835
3f36b980:	dummy;	0.719312	4	-12	92
3f37f574:	time lag;	0.71377	0.71931
3f3729f4:	dummy;	0.72027	4	-12	92
3f3a0be4:	time lag;	0.71548	0.72027
3f375418:	dummy;	0.721226	4	-12	92
3f3a1058:	time lag;	0.71613	0.72123
3f37a2c0:	dummy;	0.722182	6	-11	91
3f3a1438:	time lag;	0.71733	0.72218
3f37a4a4:	dummy;	0.723141	8	-10	90
3f3a17d4:	time lag;	0.71736	0.72314
3f37f498:	dummy;	0.724098	10	-9	89
3f3a1b5c:	time lag;	0.71858	0.72410
3f37f64c:	dummy;	0.725051	12	-8	88
3f3a1ed4:	time lag;	0.71860	0.72505
3f3841ec:	dummy;	0.725997	12	-8	88
3f3a2240:	time lag;	0.71976	0.72600
3f388410:	dummy;	0.726943	12	-8	88
3f3a2594:	time lag;	0.72077	0.72694
3f38d5a4:	dummy;	0.7279	12	-8	88
3f3a2900:	time lag;	0.72201	0.72790
3f39244c:	dummy;	0.728855	12	-8	88
3f3a2c78:	time lag;	0.72321	0.72886
3f396a48:	dummy;	0.729812	12	-8	88
3f3c3264:	time lag;	0.72428	0.72981
3f39c034:	dummy;	0.730769	12	-8	88
3f3c36dc:	time lag;	0.72559	0.73077
3f39c208:	dummy;	0.731723	12	-8	88
3f3c3ab8:	time lag;	0.72562	0.73172
3f3a0e50:	dummy;	0.732667	12	-8	88
3f3c3f50:	time lag;	0.72678	0.73267
3f3a5bb8:	dummy;	0.733623	12	-8	88
3f3c430c:	time lag;	0.72796	0.73362
3f3aac88:	dummy;	0.73458	12	-8	88
3f3c46a4:	time lag;	0.72920	0.73458
3f3afb3c:	dummy;	0.735535	12	-8	88
3f3c4a30:	time lag;	0.73040	0.73554
3f3b4bc8:	dummy;	0.736492	12	-8	88
3f3c4ea4:	time lag;	0.73163	0.73649
3f3b4d8c:	dummy;	0.73745	10	-10	87
3f3c5718:	time lag;	0.73165	0.73745
3f3b8d1c:	dummy;	0.738405	8	-12	86
3f3e7018:	time lag;	0.73262	0.73840
3f3bd780:	dummy;	0.739363	6	-14	85
3f3e7558:	time lag;	0.73376	0.73936
3f3c2948:	dummy;	0.740321	4	-16	84
3f3e79dc:	time lag;	0.73500	0.74032
3f3c7a18:	dummy;	0.741278	4	-16	84
3f3e7dac:	time lag;	0.73624	0.74128
3f3ccae8:	dummy;	0.742235	4	-16	84
3f3e8154:	time lag;	0.73747	0.74223
3f3d17b4:	dummy;	0.743193	4	-16	84
3f3e87c0:	time lag;	0.73864	0.74319
3f3d1968:	dummy;	0.744153	4	-16	84
3f3e8d10:	time lag;	0.73867	0.74415
3f3d19bc:	dummy;	0.745109	4	-16	84
3f3e90ac:	time lag;	0.73867	0.74511
3f3d629c:	dummy;	0.746063	4	-16	84
3f3e9434:	time lag;	0.73979	0.74606
3f3dc898:	dummy;	0.747003	4	-16	84
3f40d1d8:	time lag;	0.74134	0.74700
3f3dedd0:	dummy;	0.747952	4	-16	84
3f40d7ac:	time lag;	0.74191	0.74795
3f3e3864:	dummy;	0.74891	4	-16	84
3f40dbe0:	time lag;	0.74305	0.74891
3f3e82b8:	dummy;	0.749866	4	-16	84
3f40df9c:	time lag;	0.74418	0.74987
3f3ece14:	dummy;	0.750822	4	-16	84
3f40e338:	time lag;	0.74533	0.75082
3f3f2618:	dummy;	0.751778	4	-16	84
3f40e6b0:	time lag;	0.74668	0.75178
3f3f27dc:	dummy;	0.75273	4	-16	84
3f40ea18:	time lag;	0.74670	0.75273
3f3f7198:	dummy;	0.753674	3	-16	85
3f40f054:	time lag;	0.74783	0.75367
3f3fbc90:	dummy;	0.754632	2	-16	86
3f40f66c:	time lag;	0.74897	0.75463
3f402a98:	dummy;	0.755588	1	-16	87
3f42f838:	time lag;	0.75065	0.75559
3f40485c:	dummy;	0.756544	0	-16	88
3f42fcd0:	time lag;	0.75110	0.75654
3f4091c0:	dummy;	0.7575	0	-16	88
3f4300ac:	time lag;	0.75222	0.75750
3f40eb58:	dummy;	0.758457	0	-16	88
3f430458:	time lag;	0.75359	0.75846
3f40ed1c:	dummy;	0.759413	0	-16	88
3f4307d0:	time lag;	0.75362	0.75941
3f412ab8:	dummy;	0.76037	0	-16	88
3f430b48:	time lag;	0.75456	0.76037
3f4179d0:	dummy;	0.761326	0	-16	88
3f430ec4:	time lag;	0.75576	0.76133
3f41c7f0:	dummy;	0.762284	0	-16	88
3f43122c:	time lag;	0.75696	0.76228
3f421a1c:	dummy;	0.763241	0	-16	88
3f431594:	time lag;	0.75821	0.76324
3f426384:	dummy;	0.764198	0	-16	88
3f455950:	time lag;	0.75933	0.76420
3f42b788:	dummy;	0.765154	0	-16	88
3f455dc4:	time lag;	0.76061	0.76515
3f42b960:	dummy;	0.766113	0	-16	88
3f456190:	time lag;	0.76064	0.76611
3f42b9b4:	dummy;	0.76707	0	-16	88
3f45653c:	time lag;	0.76065	0.76707
3f430078:	dummy;	0.768021	0	-16	88
3f4568b4:	time lag;	0.76173	0.76802
3f434548:	dummy;	0.768973	2	-15	87
3f456c40:	time lag;	0.76278	0.76897
3f439638:	dummy;	0.769918	4	-14	86
3f456fa8:	time lag;	0.76401	0.76992
3f43e6a4:	dummy;	0.770874	6	-13	85
3f457310:	time lag;	0.76524	0.77087
3f443538:	dummy;	0.771831	8	-12	84
3f457678:	time lag;	0.76644	0.77183
3f44ab40:	dummy;	0.772787	8	-12	84
3f477b6c:	time lag;	0.76824	0.77279
3f44ad78:	dummy;	0.773746	8	-12	84
3f477f6c:	time lag;	0.76827	0.77375
3f44c814:	dummy;	0.774685	8	-12	84
3f4782f4:	time lag;	0.76868	0.77468
3f451ac8:	dummy;	0.775643	8	-12	84
3f47864c:	time lag;	0.76994	0.77564
3f456a6c:	dummy;	0.776599	8	-12	84
3f478a08:	time lag;	0.77116	0.77660
3f45b8ec:	dummy;	0.777556	8	-12	84
3f478d40:	time lag;	0.77235	0.77756
3f45fbb4:	dummy;	0.778512	8	-12	84
3f479054:	time lag;	0.77337	0.77851
3f46467c:	dummy;	0.77947	8	-12	84
3f479368:	time lag;	0.77451	0.77947
3f464778:	dummy;	0.780425	8	-12	84
3f479b44:	time lag;	0.77453	0.78043
3f469014:	dummy;	0.781382	8	-12	84
3f479f54:	time lag;	0.77564	0.78138
3f46daa8:	dummy;	0.782338	8	-12	84
3f49c1f8:	time lag;	0.77677	0.78234
3f472e7c:	dummy;	0.783297	8	-12	84
3f49c618:	time lag;	0.77805	0.78330
3f477d00:	dummy;	0.784253	8	-12	84
3f49c994:	time lag;	0.77925	0.78425
3f47cba4:	dummy;	0.78521	8	-11	83
3f49ccd8:	time lag;	0.78045	0.78521
3f480ac0:	dummy;	0.786165	8	-10	82
3f49d010:	time lag;	0.78141	0.78617
3f480bcc:	dummy;	0.787123	8	-9	81
3f49d324:	time lag;	0.78143	0.78712
3f485380:	dummy;	0.788075	8	-8	80
3f49d638:	time lag;	0.78252	0.78807
3f485478:	dummy;	0.78902	8	-8	80
3f49d93c:	time lag;	0.78254	0.78902
3f489c80:	dummy;	0.789958	8	-8	80
3f49dc50:	time lag;	0.78364	0.78996
3f492ff4:	dummy;	0.790912	8	-8	80
3f4c1d6c:	time lag;	0.78589	0.79091
3f4930f0:	dummy;	0.791867	8	-8	80
3f4c21e0:	time lag;	0.78590	0.79187
3f498374:	dummy;	0.792823	8	-8	80
3f4c25c0:	time lag;	0.78716	0.79282
3f49d25c:	dummy;	0.793778	8	-8	80
3f4c295c:	time lag;	0.78837	0.79378
3f4a1868:	dummy;	0.79473	8	-8	80
3f4c2ce4:	time lag;	0.78943	0.79473
3f4a600c:	dummy;	0.795673	8	-8	80
3f4c318c:	time lag;	0.79053	0.79567
3f4a60f4:	dummy;	0.79663	8	-8	80
3f4c34f4:	time lag;	0.79054	0.79663
3f4aa9f8:	dummy;	0.797584	8	-8	80
3f4c385c:	time lag;	0.79166	0.79758
3f4af418:	dummy;	0.798539	8	-8	80
3f4c3cb0:	time lag;	0.79279	0.79854
3f4b7198:	dummy;	0.799495	8	-8	80
3f4e5f30:	time lag;	0.79470	0.79949
3f4b8e08:	dummy;	0.800451	9	-8	81
3f4e63a4:	time lag;	0.79514	0.80045
3f4bd114:	dummy;	0.801408	10	-8	82
3f4e6784:	time lag;	0.79616	0.80141
3f4c1604:	dummy;	0.802364	11	-8	83
3f4e6b30:	time lag;	0.79721	0.80236
3f4c5ee4:	dummy;	0.803322	12	-8	84
3f4e6eb8:	time lag;	0.79832	0.80332
3f4cabd4:	dummy;	0.8042789	12	-8	84
3f4e7244:	time lag;	0.79950	0.80428
3f4cefbc:	dummy;	0.805236	12	-8	84
3f4e75bc:	time lag;	0.80053	0.80524
3f4cf074:	dummy;	0.806192	12	-8	84
3f4e7924:	time lag;	0.80054	0.80619
3f4d38cc:	dummy;	0.80715	12	-8	84
3f4e7c9c:	time lag;	0.80165	0.80715
3f4d39a8:	dummy;	0.808107	12	-8	84
3f4e831c:	time lag;	0.80166	0.80811
3f4d844c:	dummy;	0.80906	12	-8	84
3f4e8868:	time lag;	0.80280	0.80906
3f4dc8b8:	dummy;	0.809999	12	-8	84
3f509850:	time lag;	0.80384	0.81000
3f4e12b4:	dummy;	0.810942	12	-8	84
3f509cd4:	time lag;	0.80497	0.81094
3f4e594c:	dummy;	0.811899	12	-8	84
3f50a0b0:	time lag;	0.80605	0.81190
3f4ea328:	dummy;	0.812856	12	-8	84
3f50a45c:	time lag;	0.80718	0.81286
3f4ee808:	dummy;	0.8138121	12	-8	84
3f50a7e8:	time lag;	0.80823	0.81381
3f4f3648:	dummy;	0.814769	12	-8	84
3f50ab60:	time lag;	0.80942	0.81477
3f4f7f9c:	dummy;	0.815722	12	-8	84
3f50aec8:	time lag;	0.81054	0.81572
3f4f8078:	dummy;	0.816666	10	-8	84
3f50b230:	time lag;	0.81055	0.81667
3f4fe660:	dummy;	0.817622	8	-8	84
3f52e0d4:	time lag;	0.81211	0.81762
3f500e28:	dummy;	0.818577	6	-8	84
3f52e548:	time lag;	0.81272	0.81858
3f505a50:	dummy;	0.819532	4	-8	84
3f52e924:	time lag;	0.81388	0.81953
3f50a8b0:	dummy;	0.820488	4	-8	84
3f52edac:	time lag;	0.81507	0.82049
3f50f52c:	dummy;	0.8214439	4	-8	84
3f52f168:	time lag;	0.81624	0.82144
3f5141a8:	dummy;	0.8224	4	-8	84
3f52f500:	time lag;	0.81741	0.82240
3f518dac:	dummy;	0.823354	4	-8	84
3f52f88c:	time lag;	0.81857	0.82335
3f518e74:	dummy;	0.824312	4	-8	84
3f52fc04:	time lag;	0.81858	0.82431
3f51d714:	dummy;	0.825267	4	-8	84
3f52ff6c:	time lag;	0.81969	0.82527
3f5233ac:	dummy;	0.826223	4	-8	84
3f5507b8:	time lag;	0.82110	0.82622
3f52696c:	dummy;	0.8271791	4	-8	84
3f550c1c:	time lag;	0.82192	0.82718
3f526a14:	dummy;	0.828137	4	-8	84
3f550ff8:	time lag;	0.82193	0.82814
3f52b7ac:	dummy;	0.829094	4	-8	84
3f551394:	time lag;	0.82312	0.82909
3f53033c:	dummy;	0.830046	4	-8	84
3f55170c:	time lag;	0.82427	0.83005
3f53504c:	dummy;	0.8309919	4	-8	84
3f551a88:	time lag;	0.82544	0.83099
3f539ab0:	dummy;	0.831935	5	-9	83
3f551e00:	time lag;	0.82658	0.83193
3f539bac:	dummy;	0.832892	6	-10	82
3f552168:	time lag;	0.82659	0.83289
3f53e164:	dummy;	0.833848	7	-11	81
3f552598:	time lag;	0.82766	0.83385
3f542f74:	dummy;	0.834805	8	-12	80
3f552914:	time lag;	0.82885	0.83481
3f547e08:	dummy;	0.835761	8	-12	80
3f574204:	time lag;	0.83005	0.83576
3f54c900:	dummy;	0.836714	8	-12	80
3f574678:	time lag;	0.83119	0.83671
3f551c6c:	dummy;	0.837659	8	-12	80
3f574a44:	time lag;	0.83246	0.83766
3f556cd8:	dummy;	0.838615	8	-12	80
3f574e00:	time lag;	0.83369	0.83861
3f556e9c:	dummy;	0.839571	8	-12	80
3f57517c:	time lag;	0.83372	0.83957
3f55b318:	dummy;	0.840527	8	-12	80
3f5754f4:	time lag;	0.83476	0.84053
3f56045c:	dummy;	0.841484	8	-12	80
3f57586c:	time lag;	0.83600	0.84148
3f56516c:	dummy;	0.842441	8	-12	80
3f575cc0:	time lag;	0.83718	0.84244
3f569aa0:	dummy;	0.843398	8	-12	80
3f598ea8:	time lag;	0.83830	0.84340
3f56ef50:	dummy;	0.844355	8	-12	80
3f599350:	time lag;	0.83959	0.84435
3f573860:	dummy;	0.845313	8	-12	80
3f59973c:	time lag;	0.84070	0.84531
3f573a14:	dummy;	0.84627	8	-12	80
3f599ae8:	time lag;	0.84073	0.84627
3f57c45c:	dummy;	0.847226	8	-12	80
3f599e74:	time lag;	0.84284	0.84723
3f57c644:	dummy;	0.848182	7	-10	82
3f59a1ec:	time lag;	0.84287	0.84818
3f57c71c:	dummy;	0.849139	6	-8	84
3f59a554:	time lag;	0.84288	0.84914
3f58114c:	dummy;	0.850097	5	-6	86
3f59a8cc:	time lag;	0.84401	0.85010
3f5861e8:	dummy;	0.851048	4	-4	88
3f59ac38:	time lag;	0.84524	0.85105
3f58b07c:	dummy;	0.851991	4	-4	88
3f59afa0:	time lag;	0.84644	0.85199
3f58fa68:	dummy;	0.852934	4	-4	88
3f5bd5a8:	time lag;	0.84757	0.85293
3f58fb64:	dummy;	0.853891	4	-4	88
3f5bda30:	time lag;	0.84759	0.85389
3f594318:	dummy;	0.854847	4	-4	88
3f5bde0c:	time lag;	0.84868	0.85485
3f598fe8:	dummy;	0.855802	4	-4	88
3f5be1a8:	time lag;	0.84985	0.85580
3f59d66c:	dummy;	0.856758	4	-4	88
3f5be534:	time lag;	0.85093	0.85676
3f5a2650:	dummy;	0.85771	4	-4	88
3f5be8ac:	time lag;	0.85215	0.85771
3f5a74b0:	dummy;	0.858652	4	-4	88
3f5bec14:	time lag;	0.85334	0.85865
3f5ac4b4:	dummy;	0.859608	4	-4	88
3f5bef7c:	time lag;	0.85456	0.85961
3f5ac658:	dummy;	0.860563	4	-4	88
3f5bf2e4:	time lag;	0.85459	0.86056
3f5b53e8:	dummy;	0.861519	4	-4	88
3f5e2c78:	time lag;	0.85675	0.86152
3f5b559c:	dummy;	0.862476	4	-4	88
3f5e3174:	time lag;	0.85678	0.86248
3f5b9894:	dummy;	0.863433	4	-4	87
3f5e35b4:	time lag;	0.85780	0.86343
3f5be4bc:	dummy;	0.864389	4	-4	86
3f5e3ab0:	time lag;	0.85896	0.86439
3f5c2eec:	dummy;	0.865345	4	-4	85
3f5e3ee0:	time lag;	0.86009	0.86535
3f5c79d4:	dummy;	0.866302	4	-4	84
3f5e42c0:	time lag;	0.86123	0.86630
3f5cc458:	dummy;	0.867258	4	-4	84
3f5e469c:	time lag;	0.86237	0.86726
3f5d0fa4:	dummy;	0.868214	4	-4	84
3f5e4a6c:	time lag;	0.86352	0.86821
3f5d1090:	dummy;	0.86917	4	-4	84
3f5e4e38:	time lag;	0.86353	0.86917
3f5d10f4:	dummy;	0.870127	4	-4	84
3f5e5204:	time lag;	0.86354	0.87013
3f5d86ec:	dummy;	0.871079	4	-4	84
3f6081d4:	time lag;	0.86534	0.87108
3f5d9c5c:	dummy;	0.872018	4	-4	84
3f6086e0:	time lag;	0.86567	0.87202
3f5de764:	dummy;	0.872968	4	-4	84
3f608ad0:	time lag;	0.86681	0.87297
3f5e323c:	dummy;	0.873911	4	-4	84
3f608e78:	time lag;	0.86795	0.87391
3f5e7d04:	dummy;	0.874868	4	-4	84
3f609204:	time lag;	0.86910	0.87487
3f5ec94c:	dummy;	0.875823	4	-4	84
3f6095e0:	time lag;	0.87026	0.87582
3f5f1584:	dummy;	0.876778	4	-4	84
3f60995c:	time lag;	0.87142	0.87678
3f5f604c:	dummy;	0.877734	4	-4	84
3f609d18:	time lag;	0.87256	0.87773
3f5f6134:	dummy;	0.878673	4	-4	84
3f60a0e4:	time lag;	0.87258	0.87867
3f5fd5cc:	dummy;	0.87963	5	-4	83
3f62c388:	time lag;	0.87436	0.87963
3f5ff4a8:	dummy;	0.880584	6	-4	82
3f62c870:	time lag;	0.87483	0.88058
3f6037d8:	dummy;	0.88154	7	-4	81
3f62ccb4:	time lag;	0.87585	0.88154
3f608430:	dummy;	0.882494	8	-4	80
3f62d0c4:	time lag;	0.87702	0.88249
3f60ceb4:	dummy;	0.883451	8	-4	80
3f62d4b4:	time lag;	0.87815	0.88345
3f611958:	dummy;	0.8844069	8	-4	80
3f62d8a0:	time lag;	0.87929	0.88441
3f6164d8:	dummy;	0.885363	8	-4	80
3f62dc80:	time lag;	0.88045	0.88536
3f61ac8c:	dummy;	0.88632	8	-4	80
3f62e128:	time lag;	0.88154	0.88632
3f61ad98:	dummy;	0.887274	8	-4	80
3f62e538:	time lag;	0.88156	0.88727
3f621a50:	dummy;	0.88823	8	-4	80
3f651090:	time lag;	0.88321	0.88823
3f623768:	dummy;	0.889185	8	-4	80
3f651528:	time lag;	0.88366	0.88919
3f628370:	dummy;	0.8901421	8	-4	80
3f651914:	time lag;	0.88482	0.89014
3f628448:	dummy;	0.8911	8	-4	80
3f651cb0:	time lag;	0.88483	0.89110
3f62cf84:	dummy;	0.89205	8	-4	80
3f65203c:	time lag;	0.88598	0.89205
3f631c54:	dummy;	0.892988	8	-4	80
3f6523b4:	time lag;	0.88715	0.89299
3f63670c:	dummy;	0.893932	8	-4	80
3f65271c:	time lag;	0.88829	0.89393
3f63ae78:	dummy;	0.894889	8	-5	82
3f652a74:	time lag;	0.88938	0.89489
3f63fad4:	dummy;	0.895845	8	-6	84
3f652ddc:	time lag;	0.89055	0.89585
3f63fbe0:	dummy;	0.8967999	8	-7	86
3f653144:	time lag;	0.89056	0.89680
3f6465d8:	dummy;	0.897757	8	-8	88
3f6773f4:	time lag;	0.89218	0.89776
3f647f34:	dummy;	0.898709	8	-8	88
3f677984:	time lag;	0.89257	0.89871
3f64c1a8:	dummy;	0.8996531	8	-8	88
3f677dc8:	time lag;	0.89358	0.89965
3f650c80:	dummy;	0.900609	8	-8	88
3f678194:	time lag;	0.89472	0.90061
3f6558a8:	dummy;	0.901565	8	-8	88
3f678540:	time lag;	0.89588	0.90156
3f65ac9c:	dummy;	0.90252	8	-8	88
3f6788dc:	time lag;	0.89717	0.90252
3f65fd9c:	dummy;	0.903475	8	-8	88
3f678c54:	time lag;	0.89840	0.90348
3f664b88:	dummy;	0.904432	8	-8	88
3f678fbc:	time lag;	0.89959	0.90443
3f664d3c:	dummy;	0.905387	8	-8	88
3f679334:	time lag;	0.89962	0.90539
3f66c764:	dummy;	0.906343	8	-8	88
3f69acf0:	time lag;	0.90148	0.90634
3f66da54:	dummy;	0.9073	8	-8	88
3f69b164:	time lag;	0.90177	0.90730
3f672e38:	dummy;	0.908255	8	-8	88
3f69b690:	time lag;	0.90305	0.90826
3f677d10:	dummy;	0.90921	8	-8	88
3f69bdf8:	time lag;	0.90425	0.90921
3f67ccb0:	dummy;	0.910164	8	-8	88
3f69c22c:	time lag;	0.90547	0.91016
3f67ce84:	dummy;	0.911122	9	-9	88
3f69c5c4:	time lag;	0.90549	0.91112
3f681b34:	dummy;	0.9120749	10	-10	88
3f69c940:	time lag;	0.90667	0.91207
3f681ce8:	dummy;	0.913016	11	-11	88
3f69cca8:	time lag;	0.90669	0.91302
3f686130:	dummy;	0.913966	12	-12	88
3f69d010:	time lag;	0.90773	0.91397
